Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Teatro Guadalupe,https://uploads.knightlab.com/storymapjs/5fdd522893e649d663c1960dd136a3bb/arte-y-corazon-westside-cultural-institutions/_images/Unknown-1.jpeg,Guadalupe Cultural Arts Center via Museo del Westside,https://www.museodelwestside.org/women-activism/themes/arte-y-corazon/story-map,"The movie theatre was often used as a venue for live entertainment, such as concerts and music competitions. ""Blanquita “Blanca Rosa” Rodríguez [of Las Tesoros de San Antono] competed in her first performance at the Teatro Guadalupe where she won first place, which led to singing on KCOR radio and at Teatro Zaragoza. <a href='https://www.arts.gov/honors/heritage/las-tesoros-de-san-antonio-beatriz-la-paloma-del-norte-llamas-and-blanquita-blanca-rosa-rodriguez' target='_blank'> (NEA) </a> ",17,Plain,blue,"1301 Guadalupe St, San Antonio, TX 78207",29.41863904,-98.51466952,,,,
KCOR Radio,https://250722-778774-raikfcquaxqncofqfm.stackpathdns.com/images/handbook/entries/CC/cortez_raoul_kcor.jpg,Texas State Historical Association,https://www.tshaonline.org/handbook/entries/kcor,"""KCOR, one of the first Spanish-language radio stations in the United States, began broadcasting in San Antonio on February 15, 1946. Raoul Alfonso Cortez, its founder, applied for a broadcasting license in the mid-1940s. Cortez asserted in his application that a Spanish-language radio station would lend support for the war effort among the nation’s Spanish speakers. He received approval for the license for KCOR (the call sign was derived by using the first three letters of Cortez’s name), broadcasting over frequency 1350 AM in 1946, after restrictions on foreign language broadcasting were lifted following the end of World War II. This was the first full-time Spanish-language radio station owned by a Mexican American in the United States.""",17,Plain,blue,111 Martinez Street,29.41808,-98.4890628,,,,
,https://texashistory.unt.edu/ark:/67531/metapth1115147/m1/32/zoom/?q=%22KCOR%22&resolution=0.8094211773783196&lat=3973.1246382321606&lon=402.7729636550762,The Portal To Texas History,https://texashistory.unt.edu/ark:/67531/metapth1115147/m1/32/zoom/?q=%22KCOR%22&resolution=0.8094211773783196&lat=3973.1246382321606&lon=402.7729636550762,,17,Plain,,111 Martinez Street,29.41808,-98.4890628,,,,
El Sombrero,,Esperanza Peace & Justice Center,https://esperanzacenter.org/esperanza-projects/lermas-live-conjunto-music-venue/,"""The largest section was first home to El Sombrero, a norteño/mexican/conjunto live music venue. In 1951, Mr. Pablo H. Lerma took over the lease of the larger section (then El Sombrero) and turned it into an exclusively live conjunto music venue and called it Lerma’s Nite Club. Mr. Lerma previously owned a bar called Lerma’s Place on the 900 block of Zarzamora that was registered in the 1948 city directories. His son, Armando, took over the business when his father retired, but eventually he fell ill and decided not to continue with the family business.""",17,Plain,blue,"1612 N. Zarzamora Street, San Antonio, TX 78201",29.4441768,-98.5249375,,,,
Norteño Records,https://frontera.library.ucla.edu/sites/default/files/N/ntno_33_no-815_a.jpg,The Strachwitz Frontera Collection,https://frontera.library.ucla.edu/recordings/mi-viejo-san-antonio-5,"José Morante's record label and studio, where singles and albums from the likes of Flaco Jimenez, Blanca Rosas, Conjunto Aguila, and others were recorded.",17,Plain,,"2606 Ruiz St., San Antonio, TX",29.43869591,-98.55059052,,,,
,https://frontera.library.ucla.edu/sites/default/files/N/ntno_33_no-815_back.jpg,The Strachwitz Frontera Collection,https://frontera.library.ucla.edu/recordings/mi-viejo-san-antonio-5,"""Morante began his career as a musical career as a Spanish conjunto musician with the former RCA Latin record company, Bluebird, before switching labels and recording several songs for Decca. After ther Second World War, Morante returned to San Antonio and began recording local artists and releasing them on his Norteño label."" <a href='https://books.google.com/books?id=IwkEAAAAMBAJ&lpg=PA36&dq=Jos%C3%A9%20Morante&pg=PA36#v=onepage&q&f=false' target='_blank'> Billboard </a> ",17,Plain,,"2606 Ruiz St., San Antonio, TX",29.43869591,-98.55059052,,,,
Teen Canteen,https://s.hdnux.com/photos/25/12/07/5546489/3/rawImage.jpg,MYSA,https://www.mysanantonio.com/entertainment/music-stage/article/For-North-Side-teens-music-hangout-also-a-5039328.php#photo-5546489,"""Sam Kinsey’s fabled Teen Canteen, a teen dance club which operated from 1961 to 1977 at various locales in San Antonio, wasn’t only an important rock venue of the era – the Sir Douglas Quintet, Mike Nesmith (pre-Monkees), Mike Post, Gene Thomas, Bubble Puppy, the Moving Sidewalks, ZZ Top and dozens of legendary teenage garage bands played there — it was a godsend for parents."" -<a href='https://thewittliffkeystone.com/2019/01/16/teen-canteen-letters-shed-light-on-60s-youth-culture/' target='_blank'> Hector Saldana </a> ",17,Plain,blue,"4522 Fredericksburg Rd, San Antonio, TX 78201",29.4653182,-98.526856,,,,
,https://wittliffcollections.files.wordpress.com/2019/01/sam-kinsey-teen-canteen-flyer.jpg?w=900,Texas Music Collection at The Wittliff Collections at Texas State University,https://thewittliffkeystone.com/2019/01/16/teen-canteen-letters-shed-light-on-60s-youth-culture/,,17,Plain,,"4522 Fredericksburg Rd, San Antonio, TX 78201",29.4653182,-98.526856,,,,
Bertha’s Place Bar / R&L Bar,https://www.sanantonio.gov/Portals/0/Files/HistoricPreservation/WestsideLandmarks_PhaseI_3-2013.pdf,"Westside Designated Landmarks, Phase I, Office of Historic Preservation",https://www.sanantonio.gov/Portals/0/Files/HistoricPreservation/WestsideLandmarks_PhaseI_3-2013.pdf,"[see page 10 in the PDF] Registered under the business name ""Bertha's Place"" in 1955 and ""R & L Bar"" in 1960, with records dating back to 1929, the building was home to a number of westside bars and a grocery store which allegedly operated an illegal bar during the prohibition era. Neighborhood residents have described the building as an ""Interesting relic of prohibition"" and a ""social center for the neighborhood"" in public commentary surrounding the push for historic designation and preservation of the building. ",17,Plain,blue,1001 N. San Marcos (401 Arbor Place),29.43655,-98.50766,,,,
Buena Vista Gardens,https://i0.wp.com/sanantonioreport.org/wp-content/uploads/2017/12/BonnieArbittier_nalac_national_association_of_latino_arts_and_cultures_luis_garza_maria_lopez_de_leon_12-05-2017-12.jpg?ssl=1,San Antonio Report,https://sanantonioreport.org/westside-arts-organization-pioneers-latinx-database/,"With a rich history in the social, community, political, and musical landscape of the westside, the building was once home to a beer garden, radio station, television station, and other bars. [see page 18 in the PDF]  ""In 1940-41 the property is listed as Buena Vista Gardens (beer). This continues through 1955-56. In 1951 (and 1955-56), a small commercial structure adjoining the building’s west well is listed as 1201 ½ Buena Vista, Solis Cruz Radio and Television. In 1960, the main building is listed as Recuerdo Club (beer) Solis Cruz Radio and Television Service remaining next door at 1202 ½.""",17,Plain,blue,1202 Buena Vista,29.4253,-98.51136,,,,
,https://www.sanantonio.gov/Portals/0/Files/HistoricPreservation/WestsideLandmarks_PhaseI_3-2013.pdf,"Westside Designated Landmarks, Phase I, Office of Historic Preservation",https://www.sanantonio.gov/Portals/0/Files/HistoricPreservation/WestsideLandmarks_PhaseI_3-2013.pdf,,17,Plain,,1202 Buena Vista,29.4253,-98.51136,,,,
Villa Fontana,https://texashistory.unt.edu/ark:/67531/metapth403506/m1/5/zoom/?q=%22Villa%20Fontana%22&resolution=1.3410223977534343&lat=3345.060518065118&lon=1898.7076311087678,The Portal To Texas History,https://texashistory.unt.edu/,The venue served as a popular social gathering place for a number of community and social club dances and events throughout the 1960's. ,17,Plain,blue,"403 S. Alamo, San Antonio",29.4290423,-98.4841075,,,,
,https://texashistory.unt.edu/ark:/67531/metapth403899/m1/6/zoom/?q=%22villa%20fontana%22&resolution=0.7882180359792406&lat=1470.5386224909862&lon=817.8607325784949,The Portal To Texas History,https://texashistory.unt.edu/ark:/67531/metapth403899/m1/6/zoom/?q=%22villa%20fontana%22&resolution=0.7882180359792406&lat=1470.5386224909862&lon=817.8607325784949,,17,Plain,,"403 S. Alamo, San Antonio",29.4290423,-98.4841075,,,,
,https://digital.utsa.edu/digital/api/singleitem/image/p9020coll4/576/default.jpg,UTSA Libraries Special Collections,https://digital.utsa.edu/digital/collection/p9020coll4/id/584/rec/8,,17,Plain,,"403 S. Alamo, San Antonio",29.4290423,-98.4841075,,,,
